# _tick,_time,train_seconds,step,mean_episode_return,mean_episode_step,total_loss,pg_loss,baseline_loss,entropy_loss,learner_queue_size
141,1654750228.9261801,590.9,1684480,7.817043304443359,5080.04638671875,11.227582931518555,25.278762817382812,5.675264358520508,-19.726444244384766,64
142,1654750230.647843,590.9,1689600,-30.147661209106445,5009.0546875,57.715206146240234,45.54351806640625,31.853960037231445,-19.682270050048828,64
143,1654750240.1776257,601.0,1715200,-60.09602737426758,5073.21044921875,-176.10292053222656,-157.82118225097656,1.1188294887542725,-19.400575637817383,64
144,1654750247.5124624,606.5,1735680,-41.76545333862305,4730.9072265625,175.07101440429688,147.11447143554688,46.829158782958984,-18.87262725830078,64
145,1654750249.3615985,611.5,1740800,50.69424819946289,5357.19677734375,-94.67899322509766,-77.88343048095703,2.184915065765381,-18.98047637939453,64
146,1654750258.6989985,621.5,1766400,-46.43712615966797,5544.02734375,-18.106163024902344,-5.240776062011719,6.444132328033447,-19.309518814086914,64
147,1654750271.0980136,631.5,1802240,-67.15593719482422,5446.11865234375,190.58377075195312,182.82870483398438,27.136817932128906,-19.381746292114258,64
148,1654750272.8360415,631.5,1807360,23.672910690307617,4873.50341796875,-119.6917724609375,-107.05943298339844,6.553031921386719,-19.18537139892578,64
149,1654750276.2620559,636.5,1817600,-37.54679489135742,4912.26708984375,-78.61360931396484,-66.06088256835938,6.497903823852539,-19.050626754760742,64
150,1654750279.759249,641.5,1827840,-31.270689010620117,5171.0,156.10780334472656,130.44595336914062,44.57218933105469,-18.91034507751465,64
151,1654750283.3284419,641.5,1838080,-26.083141326904297,5270.44140625,387.5261535644531,342.159423828125,64.63697814941406,-19.270219802856445,64
152,1654750285.1034331,646.5,1843200,-2.6799979209899902,5148.02392578125,171.50782775878906,150.96298217773438,39.83650207519531,-19.291658401489258,64
153,1654750289.0036933,651.5,1853440,-23.220489501953125,5373.0556640625,178.96817016601562,148.70904541015625,49.48012161254883,-19.220989227294922,64
154,1654750290.795551,651.5,1858560,-46.61817932128906,4811.20654296875,802.3499755859375,577.1871337890625,244.28648376464844,-19.123687744140625,64
